ID,Comapny name,Position,URL
1,Cisco,Software Engineer -C Programming/Multithreading,https://jobs.cisco.com/jobs/ProjectDetail/Software-Engineer-C-Programming-Multithreading/1229498?
2,Cisco,Senior Software Engineer- Polaris,https://jobs.cisco.com/jobs/ProjectDetail/Senior-Software-Engineer-Polaris/1224574?
3,Cisco,Data Visualization Leader-Analytics team,https://jobs.cisco.com/jobs/ProjectDetail/Data-Visualization-Leader-Analytics-team/1209387?
4,Cisco,Senior Lead Machine Learning Engineer-Analytics team,https://jobs.cisco.com/jobs/ProjectDetail/Senior-Lead-Machine-Learning-Engineer-Analytics-team/1026983?
5,Cisco,Senior Software Test Automation Engineer,https://jobs.cisco.com/jobs/ProjectDetail/Senior-Software-Test-Automation-Engineer/1228858?
6,Cisco,"Cloud Software Developer (Python, Java) - WebEx Meetings Microservices",https://jobs.cisco.com/jobs/ProjectDetail/Cloud-Software-Developer-Python-Java-WebEx-Meetings-Microservices/1227831?
7,Cisco,Product Manager - Optical Network Life Cycle Management,https://jobs.cisco.com/jobs/ProjectDetail/Product-Manager-Optical-Network-Life-Cycle-Management/1230028?
8,Cisco,Senior Software Engineer- Connected Car Team,https://jobs.cisco.com/jobs/ProjectDetail/Senior-Software-Engineer-Connected-Car-Team/1235916?
9,Cisco,Sr. Software Kernel Security Engineer,https://jobs.cisco.com/jobs/ProjectDetail/Sr-Software-Kernel-Security-Engineer/1236172?
10,Cisco,Software Engineer- C/C++,https://jobs.cisco.com/jobs/ProjectDetail/Software-Engineer-C-C-/1236460?
11,Cisco,Technical Lead Software Engineer - C/Networking Protocols,https://jobs.cisco.com/jobs/ProjectDetail/Technical-Lead-Software-Engineer-C-Networking-Protocols/1233131?
12,Cisco,Backend Software Engineer,https://jobs.cisco.com/jobs/ProjectDetail/Backend-Software-Engineer/1238087?
13,Walmart,Lead Specialist Security Testing- Penetration Testing/AppSec,https://careers.walmart.com/us/jobs/1037648BR-lead-specialist-security-testing-penetration-testing-appsec-bentonville-ar
14,Walmart,2019 Full Time: Cyber Security,https://careers.walmart.com/us/jobs/1131656BR-2019-full-time-cyber-security-bentonville-ar
15,Walmart,Security Engineer_EL,https://careers.walmart.com/us/jobs/1144802BR-security-engineer-el-san-bruno-ca
16,Walmart,Risk Lead Cybersecurity,https://careers.walmart.com/us/jobs/1107150BR-risk-lead-cybersecurity-bentonville-ar
17,Walmart,Technical Expert Cybersecurity,https://careers.walmart.com/us/jobs/1011858BR-technical-expert-cybersecurity-austin-tx
18,Walmart,Technical Big Data Analyst,https://careers.walmart.com/us/jobs/details/?gh_jid=1221472
19,Walmart,Senior Data Analyst II / Data Scientist,https://careers.walmart.com/us/jobs/1098157BR-senior-data-analyst-ii-data-scientist-bentonville-ar
20,Walmart,Sr Mgr I Data Analyst-Tech,https://careers.walmart.com/us/jobs/1130555BR-sr-mgr-i-data-analyst-tech-bentonville-ar
21,Walmart,Principal Software Engineer,https://careers.walmart.com/us/jobs/1143432BR-principal-software-engineer-sunnyvale-ca
22,Walmart,"Senior Manager I, Site Analytics, App Analytics",https://careers.walmart.com/us/jobs/1063553BR-senior-manager-i-site-analytics-app-analytics-san-bruno-ca
23,Walmart,Big Data Engineer,https://careers.walmart.com/us/jobs/details/?gh_jid=844291
24,Walmart,Ad Operations Analyst-Walmart Media Group,https://careers.walmart.com/us/jobs/details/?gh_jid=1211790
25,Walmart,"Manager, Site Analytics Samsclub.com",https://careers.walmart.com/us/jobs/1066520BR-manager-site-analytics-samsclubcom-san-bruno-ca
26,Twitter,Quantitative Analyst Revenue Forecasting,https://careers.twitter.com/en/work-for-twitter/201810/quantitative-analyst-revenue-forecasting1.html
27,Twitter,Data Scientist (Self-Serve Ads),https://careers.twitter.com/en/work-for-twitter/201810/data-scientist-self-serve-ads-.html
28,Twitter,Machine Learning Engineer - Core Consumer Product,https://careers.twitter.com/en/work-for-twitter/201808/machine-learning-engineer-core-consumer-product.html
29,Twitter,"Data Engineer, Data Science",https://careers.twitter.com/en/work-for-twitter/201807/data-engineer-data-science.html
30,Twitter,Machine Learning Engineer- Ads Targeting & Modeling,https://careers.twitter.com/en/work-for-twitter/201808/machine-learning-engineer-ads-targeting-modeling0.html
31,Twitter,Senior Research Manager - Revenue Research,https://careers.twitter.com/en/work-for-twitter/201808/senior-research-manager-revenue-research.html
32,Twitter,Product Designer,https://careers.twitter.com/en/work-for-twitter/201808/product-designer0.html
33,Twitter,Director of Research - Social Science,https://careers.twitter.com/en/work-for-twitter/201803/director-of-research-social-science.html
34,Twitter,Senior Design Program Manager – UX Strategy + Ops,https://careers.twitter.com/en/work-for-twitter/201808/senior-design-program-manager-ux-strategy-ops.html
35,Twitter,Design Technologist // Design Systems,https://careers.twitter.com/en/work-for-twitter/201808/design-technologist-design-systems.html
36,Twitter,Product Designer,https://careers.twitter.com/en/work-for-twitter/201810/product-designer.html
